drc,,DRC,ДРК,ДРК,刚果民主共和国,コンゴ民主共和国,콩고 민주 공화국,República Democrática del Congo,DRC
denmark,,Denmark,Дания,Данія,丹麦,デンマーク,덴마크,Dinamarca,Denmark
djibouti,,Djibouti,Джибути,Джибуті,吉布地,ジブチ,지부티,Djibouti,Djibouti
dominica,,Dominica,Доминика,Домініка,多明尼加,ドミニカ,도미니카,Dominica,Dominica
dominican_republic,,Dominican Republic,Доминиканская Республика,Домініканська Республіка,多米尼加共和国,ドミニカ共和国,도미니카 공화국,República Dominicana,Dominican Republic
ecuador,,Ecuador,Эквадор,Еквадор,厄瓜多尔,エクアドル,에콰도르,Ecuador,Ecuador
egypt,,Egypt,Египет,Єгипет,埃及,エジプト,이집트,Egipto,Egypt
el_salvador,,El Salvador,Сальвадор,Сальвадор,萨尔瓦多共和国,エルサルバドル,엘살바도르,El Salvador,El Salvador
equatorial_guinea,,Equatorial Guinea,Экваториальная Гвинея,Екваторіальна Гвінея,赤道几内亚,赤道ギニア,적도 기니,Guinea Ecuatorial,Equatorial Guinea
eritrea,,Eritrea,Эритрея,Еритрея,厄立特里亚,エリトリア,에리트레아,Eritrea,Eritrea
estonia,,Estonia,Эстония,Естонія,爱沙尼亚,エストニア,에스토니아,Estonia,Estonia
eswatini,,Eswatini,Эсватини,Есватіні,史瓦帝尼,エスワティニ,에스와티니,Eswatini,Eswatini
ethiopia,,Ethiopia,Эфиопия,Ефіопія,埃塞俄比亚,エチオピア,에티오피아,Etiopía,Ethiopia
fiji,,Fiji,Фиджи,Фіджі,斐济,フィジー,피지,Fiji,Fiji
finland,,Finland,Финляндия,Фінляндія,芬兰,フィンランド,핀란드,Finlandia,Finland
france,,France,Франция,Франція,法国,フランス,프랑스,Francia,France
gabon,,Gabon,Габон,Габон,加蓬,ガボン,가봉,Gabón,Gabon
gambia,,Gambia,Гамбия,Гамбія,冈比亚,ガンビア,감비아,Gambia,Gambia
georgia,,Georgia,Грузия,Грузія,格鲁吉亚,ジョージア,조지아,Georgia,Georgia
germany,,Germany,Германия,Німеччина,德国,ドイツ,독일,Alemania,Germany
ghana,,Ghana,Гана,Гана,加纳,ガーナ,가나,Ghana,Ghana
greece,,Greece,Греция,Греція,希腊,ギリシャ,그리스,Grecia,Greece
grenada,,Grenada,Гренада,Гренада,格林纳达,グレナダ,그레나다,Granada,Grenada
guatemala,,Guatemala,Гватемала,Гватемала,危地马拉,ガテマラ,과테말라,Guatemala,Guatemala
guinea,,Guinea,Гвинея,Гвінея,几内亚,ギニア,기니,Guinea,Guinea
guinea_bissau,,Guinea-Bissau,Гвинея-Бисау,Гвінея-Бісау,几内亚比绍,ギニアビサウ,기니비사우,Guinea-Bissau,Guinea-Bissau
guyana,,Guyana,Гайана,Гайана,圭亚那,ガイアナ,가이아나,Guyana,Guyana
haiti,,Haiti,Гаити,Гаїті,海地,ハイチ,아이티,Haití,Haiti
honduras,,Honduras,Гондурас,Гондурас,洪都拉斯,ホンジュラス,온두라스,Honduras,Honduras
hungary,,Hungary,Венгрия,Угорщина,匈牙利,ハンガリー,헝가리,Hungría,Hungary
iceland,,Iceland,Исландия,Ісландія,冰岛,アイスランド,아이슬란드,Islandia,Iceland
india,,India,Индия,Індія,印度,インド,인도,India,India
indonesia,,Indonesia,Индонезия,Індонезія,印度尼西亚,インドネシア,인도네시아,Indonesia,Indonesia
iran,,Iran,Иран,Іран,伊朗,イラン,이란,Irán,Iran
iraq,,Iraq,Ирак,Ірак,伊拉克,イラク,이라크,Irak,Iraq
ireland,,Ireland,Ирландия,Ірландія,爱尔兰,アイルランド,아일랜드,Irlanda,Ireland
israel,,Israel,Израиль,Ізраїль,以色列,イスラエル,이스라엘,Israel,Israel
italy,,Italy,Италия,Італія,意大利,イタリア,이탈리아,Italia,Italy
jamaica,,Jamaica,Ямайка,Ямайка,牙买加,ジャマイカ,자메이카,Jamaica,Jamaica
japan,,Japan,Япония,Японія,日本,日本,일본,Japón,Japan
jordan,,Jordan,Иордания,Йорданія,约旦,ヨルダン,조던,Jordania,Jordan
kazakhstan,,Kazakhstan,Казахстан,Казахстан,哈萨克斯坦,カザフスタン,카자흐스탄,Kazajstán,Kazakhstan
kenya,,Kenya,Кения,Кенія,肯尼亚,ケニア,케냐,Kenia,Kenya
kiribati,,Kiribati,Кирибати,Кірібаті,基里巴斯,キリバス,키리바시,Kiribati,Kiribati
kuwait,,Kuwait,Кувейт,Кувейт,科威特,クウェート,쿠웨이트,Kuwait,Kuwait
kyrgyzstan,,Kyrgyzstan,Кыргызстан,Киргизстан,吉尔吉斯斯坦,キルギス,키르기스스탄,Kirguistán,Kyrgyzstan
laos,,Laos,Лаос,Лаос,老挝,ラオス,라오스,Laos,Laos
latvia,,Latvia,Латвия,Латвія,拉脱维亚,ラトビア,라트비아,Letonia,Latvia
lebanon,,Lebanon,Ливан,Ліван,黎巴嫩,レバノン,레바논,Líbano,Lebanon
lesotho,,Lesotho,Лесото,Лесото,莱索托,レソト,레소토,Lesoto,Lesotho
liberia,,Liberia,Либерия,Ліберія,利比里亚,リベリア,라이베리아,Liberia,Liberia
libya,,Libya,Ливия,Лівія,利比亚,リビア,리비아,Libia,Libya
liechtenstein,,Liechtenstein,Лихтенштейн,Ліхтенштейн,列支敦士登,リヒテンシュタイン,리히텐슈타인,Liechtenstein,Liechtenstein
lithuania,,Lithuania,Литва,Литва,立陶宛,リトアニア,리투아니아,Lituania,Lithuania
luxembourg,,Luxembourg,Люксембург,Люксембург,卢森堡,ルクセンブルク,룩셈부르크,Luxemburgo,Luxembourg
madagascar,,Madagascar,Мадагаскар,Мадагаскар,马达加斯加,マダガスカル,마다가스카르,Madagascar,Madagascar
malawi,,Malawi,Малави,Малаві,马拉维,マラウイ,말라위,Malawi,Malawi
malaysia,,Malaysia,Малайзия,Малайзія,马拉西亚,マレーシア,말레이시아,Malasia,Malaysia
maldives,,Maldives,Мальдивы,Мальдіви,马尔代夫,モルディブ,몰디브,Maldivas,Maldives
mali,,Mali,Мали,Малі,马里,マリ,말리,Malí,Mali
malta,,Malta,Мальта,Мальта,马尔他,マルタ,몰타,Malta,Malta
marshall_islands,,Marshall Islands,Маршалловы Острова,Маршаллові острови,马绍尔群岛,マーシャル諸島,마셜 제도,Islas Marshall,Marshall Islands
mauritania,,Mauritania,Мавритания,Мавританія,毛里塔尼亚,モーリタニア,모리타니아,Mauritania,Mauritania
mauritius,,Mauritius,Маврикий,Маврикій,毛里求斯,モーリシャス,모리셔스,Mauricio,Mauritius
mexico,,Mexico,Мексика,Мексика,墨西哥,メキシコ,멕시코,México,Mexico
micronesia,,Micronesia,Микронезия,Мікронезія,密克罗尼西亚,ミクロネシア連邦,미크로네시아,Micronesia,Micronesia
moldova,,Moldova,Молдова,Молдова,摩尔多瓦,モルドバ,몰도바,Moldavia,Moldova
monaco,,Monaco,Монако,Монако,摩纳哥,モナコ,모나코,Mónaco,Monaco
mongolia,,Mongolia,Монголия,Монголія,蒙古,モンゴル,몽골,Mongolia,Mongolia
montenegro,,Montenegro,Черногория,Чорногорія,黑山,モンテネグロ,몬테네그로,Montenegro,Montenegro
morocco,,Morocco,Марокко,Марокко,摩洛哥,モロッコ,모로코,Marruecos,Morocco
mozambique,,Mozambique,Мозамбик,Мозамбік,莫桑比克,モザンビーク,모잠비크,Mozambique,Mozambique
myanmar,,Myanmar,Мьянма,М'янма,缅甸,ミャンマー,미얀마,Myanmar,Myanmar
namibia,,Namibia,Намибия,Намібія,纳米比亚,ナミビア,나미비아,Namibia,Namibia
nauru,,Nauru,Науру,Науру,瑙鲁,ナウル,나우루,Nauru,Nauru
nepal,,Nepal,Непал,Непал,尼泊尔,ネパール,네팔,Nepal,Nepal
netherlands,,Netherlands,Нидерланды,Нідерланди,荷兰,オランダ,네덜란드,Países Bajos,Netherlands
new_zealand,,New Zealand,Новая Зеландия,Нова Зеландія,新西兰,ニュージーランド,네덜란드,Nueva Zelanda,New Zealand
nicaragua,,Nicaragua,Никарагуа,Нікарагуа,尼加拉瓜,ニカラグア,니카라과,Nicaragua,Nicaragua
niger,,Niger,Нигер,Нігер,尼日尔,ニジェール,니제르,Níger,Niger
nigeria,,Nigeria,Нигерия,Нігерія,尼日利亚,ナイジェリア,나이지리아,Nigeria,Nigeria
north_macedonia,,North Macedonia,Северная Македония,Північна Македонія,北马其顿,北マケドニア,북마케도니아,Macedonia del Norte,North Macedonia
norway,,Norway,Норвегия,Норвегія,挪威,ノルウェー,노르웨이,Noruega,Norway
oman,,Oman,Оман,Оман,阿曼,オマーン,오만,Omán,Oman
png,,PNG,ПНГ,PNG,巴布亚新几内亚,パプアニューギニア,파푸아 뉴기니,PNG,PNG
pakistan,,Pakistan,Пакистан,Пакистан,巴基斯坦,パキスタン,파키스탄,Pakistán,Pakistan
palau,,Palau,Палау,Палау,帕劳,パラオ,팔라우,Palau,Palau
panama,,Panama,Панама,Панама,巴拿马,パナマ,파나마,Panamá,Panama
paraguay,,Paraguay,Парагвай,Парагвай,巴拉圭,パラグアイ,파라과이,Paraguay,Paraguay
peru,,Peru,Перу,Перу,秘鲁,ペルー,페루,Perú,Peru
philippines,,Philippines,Филиппины,Філіппіни,菲律宾,フィリピン,필리핀,Filipinas,Philippines
poland,,Poland,Польша,Польща,波兰,ポーランド,폴란드,Polonia,Poland
portugal,,Portugal,Португалия,Португалія,葡萄牙,ポルトガル,포르투갈,Portugal,Portugal
qatar,,Qatar,Катар,Катар,卡塔尔,カタール,카타르,Qatar,Qatar
romania,,Romania,Румыния,Румунія,罗马尼亚,ルーマニア,루마니아,Rumania,Romania
russia,,Russia,Россия,Росія,俄罗斯,ロシア,러시아,Rusia,Russia
rwanda,,Rwanda,Руанда,Руанда,卢旺达,ルワンダ,르완다,Ruanda,Rwanda
saint_kitts_and_nevis,,Saint Kitts and Nevis,Сент-Китс и Невис,Сент-Кітс і Невіс,圣基茨和尼维斯联邦,セントクリストファー・ネイビス,세인트키츠네비스,Saint Kitts y Nevis,Saint Kitts and Nevis
saint_lucia,,Saint Lucia,Сент-Люсия,Сент-Люсія,圣卢西亚,セントルシア,세인트루시아,Santa Lucía,Saint Lucia
samoa,,Samoa,Самоа,Самоа,萨摩亚,サモア,사모아,Samoa,Samoa
san_marino,,San Marino,Сан-Марино,Сан-Марино,圣马力诺,サンマリノ,산마리노,San Marino,San Marino
sao_tome_and_principe,,Sao Tome and Principe,Сан-Томе и Принсипи,Сан-Томе і Принсіпі,圣多美和普林西比,サントメ・プリンシペ,상투메프린시페,Santo Tomé y Príncipe,Sao Tome and Principe
saudi_arabia,,Saudi Arabia,Саудовская Аравия,Саудівська Аравія,沙特阿拉伯,サウジアラビア,사우디아라비아,Arabia Saudita,Saudi Arabia
senegal,,Senegal,Сенегал,Сенегал,塞内加尔,セネガル,세네갈,Senegal,Senegal
serbia,,Serbia,Сербия,Сербія,塞尔维亚,セルビア,세르비아,Serbia,Serbia
seychelles,,Seychelles,Сейшелы,Сейшели,塞舌尔群岛,セーシェル,세이셸,Seychelles,Seychelles
sierra_leone,,Sierra Leone,Сьерра-Леоне,Сьєрра-Леоне,塞拉利昂,シエラレオネ,시에라리온,Sierra Leona,Sierra Leone
singapore,,Singapore,Сингапур,Сінгапур,新加坡,シンガポール,싱가포르,Singapur,Singapore
slovakia,,Slovakia,Словакия,Словаччина,斯洛伐克,スロバキア,슬로바키아,Eslovaquia,Slovakia
slovenia,,Slovenia,Словения,Словенія,斯洛文尼亚,スロベニア,슬로베니아,Eslovenia,Slovenia
solomon_islands,,Solomon Islands,Соломоновы Острова,Соломонові острови,所罗门群岛,ソロモン諸島,솔로몬 제도,Islas Salomón,Solomon Islands
somalia,,Somalia,Сомали,Сомалі,索马里,ソマリア,소말리아,Somalia,Somalia
south_africa,,South Africa,ЮАР,Південна Африка,南非,南アフリカ共和国,남아프리카 공화국,Sudáfrica,South Africa
south_korea,,South Korea,Южная Корея,Південна Корея,韩国,大韓民国,대한민국,Corea del Sur,South Korea
south_sudan,,South Sudan,Южный Судан,Південний Судан,南苏丹,南スーダン,남수단,Sudán del Sur,South Sudan
spain,,Spain,Испания,Іспанія,西班牙,スペイン,스페인,España,Spain
sri_lanka,,Sri Lanka,Шри-Ланка,Шрі-Ланка,斯里兰卡,スリランカ,스리랑카,Sri Lanka,Sri Lanka
st_vincent,,St. Vincent,Сент-Винсент,Сент-Вінсент,圣文森特和格林纳丁斯,セントビンセント・グレナディーン,세인트빈센트,San Vicente,St. Vincent
sudan,,Sudan,Судан,Судан,苏丹,スーダン,수단,Sudán,Sudan
suriname,,Suriname,Суринам,Суринам,苏里南,スリナム,수리남,Surinam,Suriname
sweden,,Sweden,Швеция,Швеція,瑞典,スウェーデン,스웨덴,Suecia,Sweden
switzerland,,Switzerland,Швейцария,Швейцарія,瑞士,スイス,스위스,Suiza,Switzerland
syria,,Syria,Сирия,Сирія,叙利亚,シリア,시리아,Siria,Syria
tajikistan,,Tajikistan,Таджикистан,Таджикистан,塔吉克斯坦,タジキスタン,타지키스탄,Tayikistán,Tajikistan
tanzania,,Tanzania,Танзания,Танзанія,坦桑尼亚,タンザニア,탄자니아,Tanzania,Tanzania
thailand,,Thailand,Таиланд,Таїланд,泰国,タイ王国,태국,Tailandia,Thailand
timor_leste,,Timor-Leste,Восточный Тимор,Тимор-Лешті,东帝汶,東ティモール,티모르-레스테,Timor-Leste,Timor-Leste
togo,,Togo,Того,Того,多哥o,トーゴ,토고,Togo,Togo
tonga,,Tonga,Тонга,Тонга,汤加,トンガ,통가,Tonga,Tonga
trinidad_and_tobago,,Trinidad and Tobago,Тринидад и Тобаго,Тринідад і Тобаго,特立尼达和多巴哥共和国,トリニダード・トバゴ,트리니다드 토바고,Trinidad y Tobago,Trinidad and Tobago
tunisia,,Tunisia,Тунис,Туніс,突尼斯,チュニジア,튀니지,Túnez,Tunisia
turkey,,Turkey,Турция,Туреччина,土耳其,トルコ,터키,Turquía,Turkey
turkmenistan,,Turkmenistan,Туркменистан,Туркменістан,土库曼斯坦,トルクメニスタン,투르크메니스탄,Turkmenistán,Turkmenistan
tuvalu,,Tuvalu,Тувалу,Тувалу,图瓦卢,ツバル,투발루,Tuvalu,Tuvalu
uae,,UAE,ОАЭ,ОАЕ,阿拉伯联合酋长国,アラブ首長国連邦,아랍에미리트,Emiratos Árabes Unidos,UAE
uk,,UK,Великобритания,Великобританія,英国,イギリス,영국,Reino Unido,UK
usa,,USA,США,США,美国,アメリカ合衆国,미국,Estados Unidos,USA
uganda,,Uganda,Уганда,Уганда,乌干达,ウガンダ,우간다,Uganda,Uganda
ukraine,,Ukraine,Украина,Україна,乌克兰,ウクライナ,우크라이나,Ucrania,Ukraine
uruguay,,Uruguay,Уругвай,Уругвай,乌拉圭,ウルグアイ,우루과이,Uruguay,Uruguay
uzbekistan,,Uzbekistan,Узбекистан,Узбекистан,乌兹别克斯坦,ウズベキスタン,우즈베키스탄,Uzbekistán,Uzbekistan
vanuatu,,Vanuatu,Вануату,Вануату,瓦努阿图,バヌアツ,바누아투,Vanuatu,Vanuatu
venezuela,,Venezuela,Венесуэла,Венесуела,委内瑞拉,ベネズエラ,베네수엘라,Venezuela,Venezuela
viet_nam,,Viet Nam,Вьетнам,В’єтнам,越南,ベトナム,베트남,Vietnam,Viet Nam
yemen,,Yemen,Йемен,Ємен,也门,イエメン,예멘,Yemen,Yemen
zambia,,Zambia,Замбия,Замбія,赞比亚,ザンビア,잠비아,Zambia,Zambia
zimbabwe,,Zimbabwe,Зимбабве,Зімбабве,津巴布韦,ジンバブエ,짐바브웨,Zimbabwe,Zimbabwe
,,,,,,,,,
,Список Континентов,,,,,,,,
africa,,Africa,Африка,Африка,非洲,アフリカ,아프리카,África,Africa
asia,,Asia,Азия,Азія,亚洲,アジア,아시아,Asia,Asia
europe,,Europe,Европа,Європа,欧洲,ヨーロッパ,유럽,Europa,Europe
north_america,,North America,Северная Америка,Північна Америка,北美洲,北アメリカ,북아메리카,América del Norte,North America
oceania,,Oceania,Океания,Океанія,大洋洲,オセアニア,오세아니,Oceanía,Oceania
south_america,,South America,Южная Америка,Південна Америка,南美洲,南アメリカ,남아메리카,Sudamérica,South America
,,,,,,,,,
,Переводы Нотификаций,,,,,,,,
,Tech Description,National round start + Voting instructions,,,,,,,
national_voting_round_start,Title,The National Voting Round has started.,Национальный раунд голосования начался.,Розпочався національний раунд голосування.,全国投票已经开始,国政投票は始まったばかりです。,전국 투표가 시작되었습니다.,Ha comenzado la Ronda Nacional de Votación.,
national_voting_round_start_description,Body,"The timer in Favorites has hit zero, which means you can start voting for entries from your country! During this round, you can vote for your favorite entries only from your country! Use your 10 VP to vote for the best entries and keep track of the countdown! Your VP will be renewed once the Continental Voting begins in 72 hours.","Таймер в «Избранном» достиг нуля, а это значит, что вы можете начать голосовать за музыку из своей страны! Во время этого раунда вы можете проголосовать за ваши любимые песни только из вашей страны! Отдавайте свои 10 VP за лучшие песни и следите за обратным отсчетом! Ваши VP будут обновлены через 72 часа, когда начнется следующий раунд - Континентальный
","Коли в таймер в Улюблених показує нуль, це означає, що ти можеш почати голосувати за улюблені пісні з твоєї країни! Під час цього раунду ти можеш голосувати за твої улюблені пісні лише з твоєї країни! Використай свої 10 балів, щоб проголосувати за найкращі пісні, і не забувай стежити за зворотнім відліком! Твої бали будуть нараховані ще раз через 72 години, коли розпочнеться Континентальний раунд.",如果“你喜欢的歌曲”中的计时器为零，这意味着你可以开始为来自你国家歌曲投票！在这一回合中，你只能为你所在国家最喜欢的歌曲投票！使用你的100个“支持点”投票选出最喜欢的歌曲，并跟踪倒计时！在72小时内开始进行洲际投票后，你的“支持点”将被续签。,「お気に入り」にタイマーがゼロになりました。つまり、あなた様の国からのエントリーに投票を始めることができます。このラウンドの時自分の国からのエントリーだけに投票することができます。最高な作品に投票すべく100VP（投票ポイント）を使用し、カウントダウンを追跡します。大陸投票が72時間以内に開始されると、VPが更新されます。,즐겨찾기의 타이머가 0이 되었습니다. 해당 국가의 항목에 대한 투표를 시작할 수 있습니다! 이 라운드에서는 국가에서만 즐겨찾는 항목에 투표할 수 있습니다! 100명의 VP를 사용하여 최고의 항목에 투표하고 카운트다운을 추적하십시오! 대륙별 투표가 72시간 후에 시작되면 VP가 갱신됩니다.,"¡Se acabó el tiempo para registrarse por el concurso! Lo que significa que puedes comenzar a votar por las entradas de tu país. ¡Durante esta ronda, puedes votar por sus entradas favoritas solo de tu país! ¡Utilice tus 100 VP para votar por las mejores entradas! Tus VP se renovarán una vez que comience la votación continental en 72 horas.",
,,,,,,,,,
,Tech Description,Top-3 Country Winners + Continental round start,,,,,,Top-3 ganadores del país + inicio de la ronda continental,
national_voting_round_results,Title,The National Voting Round results are in!,Результаты Национального раунда голосования!,Результати Національного раунду голосування!,全国投票结果出来了！,国政投票の結果発表！,전국 투표 라운드 결과가 나왔습니다!,¡Los resultados de la Ronda Nacional de Votación ya están disponibles!,
meet_top_three_your_country_finalists,Body,Meet the top-3 finalists from your country.,Встречайте трех финалистов из вашей страны.,3 фіналісти з твоєї країни.,全国决赛的前三名是,あなた様の国からトップ３の最終選考者,여러분의 나라에서 온 상위 3명의 결승 진출자들입니다.,Conoce a los 3 finalistas de tu país.,
,,1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`]
,,2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`]
,,3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`]
continental_vote_round_start,,The Continental Voting Round has now started. You can vote for any song(s) from your Continent.a,Континентальный раунд голосования начался. Вы можете проголосовать за любую песню (песни) со своего континента.,Розпочався Континентальний раунд голосування. Ти можеш проголосувати за будь-яку пісню з твого континенту.,洲际投票已经开始！你可以为你的洲大陆的任何歌曲投票,大陸投票は始まったばかりです。大陸からのどんな楽曲にも投票することができます。,이제 대륙 투표 라운드가 시작되었습니다. 대륙의 모든 노래에 투표할 수 있습니다.,La Ronda Continental de Votación ya ha comenzado. Puedes votar por cualquier canción de tu continente.,
,,,,,,,,,
,Tech Description,Top-3 Contitnet Winners + Global round start,,,,,,Los 3 ganadores de Continente + inicio de la ronda global,
continental_voting_round_results,Title,The Continental Voting Round results are in!,Результаты Континентального раунда голосования!,Результати Континентального раунду голосування!,洲际投票结果出来了！,大陸投票の結果発表！,대륙별 투표 결과가 나왔습니다!,¡Los resultados de la Ronda de Votación Continental ya están disponibles!,
meet_top_three_your_continent_finalists,Body,Meet the Top 3 finalists from your Continent.,Встречайте 3 финалистов с вашего континента.,3 фіналісти з вашого континенту.,洲际决赛的前三名是,あなた様の大陸からトップ３の最終選考者,대륙의 3대 결선 진출자들입니다.,Conoce a los 3 finalistas de tu continente.,
,,1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`]
,,2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`]
,,3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`]
global_vote_round_start_description,,The Global Voting Round has now started. Just a few hours left to decide who deserves to win. Go to the Djooky app and allocate your points to the best song(s).,"Глобальный раунд голосования начался. Осталось всего несколько часов, чтобы решить, кто достоин победы. Зайдите в приложение Djooky и распределите баллы за лучшую песню (песни).","Розпочався Глобальний раунд голосування. Залишилося лише декілька годин, щоб вирішити, хто заслуговує на перемогу. Перейди у додаток Djooky і проголосуй за найкращі пісні.",全球投票已经开始。剩下几个小时来决定谁应该赢得比赛。下载无界音乐APP并支持你最喜欢的歌曲。,グローバル投票は始まったばかりです。誰が勝利に値するかを決めるのにあと数時間！Djookyアプリでお気に入り曲に100VPが分配してください！,이제 글로벌 투표 라운드가 시작되었습니다. 우승할 자격이 있는 사람을 결정하는 데 불과 몇 시간 남았습니다. 주키 앱으로 이동하여 포인트를 최상의 곡에 할당합니다.,La Ronda Global de Votación ya ha comenzado. Solo quedan unas horas para decidir quién va a ganar. Vaya a la aplicación Djooky y asigne tus puntos a las mejores canciones.,
,,,,,,,,,
,Tech Description,Top-3 Continent Winners + Global round starts (JURY ONLY),,,,,,Los 3 ganadores de Continente + Comienza la ronda global (SOLO JURADO),
continental_voting_round_results_jury_only,Title,The Continental Voting Round results are in!,Результаты Континентального раунда голосования!,Результати Континентального раунду голосування!,洲际投票结果出来了！,大陸投票の結果発表！,"대륙별 투표 결과가입니다.
",¡Los resultados de la Ronda de Votación Continental ya están disponibles!,
meet_top_three_your_continent_finalists_jury_only,Body,Meet the Top 3 finalists from your Continent.,Встречайте 3 финалистов с вашего континента.,3 фіналісти з вашого континенту.,洲际决赛的前三名是,あなた様の大陸からトップ３の最終選考者,대륙의 3대 결선 진출자들입니다.,Conoce a los 3 finalistas principales de tu continente.,
,,1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`]
,,2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`]
,,3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`]
global_vote_round_start_description_jury_only,,The Global Voting Round has now started. Just a few hours left to decide who deserves to win. Go to the Djooky app and allocate your points to the best song(s).,"Глобальный раунд голосования начался. Осталось всего несколько часов, чтобы решить, кто достоин победы. Зайдите в приложение Djooky и распределите баллы за лучшую песню (песни).","Розпочався Глобальний раунд голосування. Залишилося лише декілька годин, щоб вирішити, хто заслуговує на перемогу. Перейди у додаток Djooky і проголосуй за найкращі пісні.",全球投票已经开始。剩下几个小时来决定谁应该赢得比赛。下载无界音乐APP并支持你最喜欢的歌曲。,グローバル投票は始まったばかりです。誰が勝利に値するかを決めるのにあと数時間！Djookyアプリでお気に入り曲に100VPが分配してください！,이제 글로벌 투표 라운드가 시작되었습니다. 우승할 자격이 있는 사람을 결정하는 데 불과 몇 시간 남았습니다. 주키 앱으로 이동하여 포인트를 최상의 곡에 할당합니다.,La Ronda Global de Votación ya ha comenzado. Solo quedan unas horas para decidir quién merece ganar. Vaya a la aplicación Djooky y asigne tus puntos a las mejores canciones.,
,,,,,,,,,
,,Meet the Top-3 Global finalists,,,,,,Conoce a los 3 finalistas mundiales ,
meet_top_three_finalists_djooky_awards,Tech Description,Meet the Top-3 finalists of the Djooky Music Awards - [Winter 2021].,Встречайте тройку финалистов Djooky Music Awards - [Зима 2021].,3 фіналісти конкурсу Djooky Music Awards - [Зима 2021].,全球决赛的前三名是[冬天2021年],Djooky Music Awardsのグローバル投票トップ３の最終選考者「冬２０２１」,Djooky Music Awards - [겨울 2021]의 3대 최종 후보작입니다.,Conoce a los 3 finalistas de los Djooky Music Awards - [Invierno de 2021].,
,Title,1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`],1. [`Song Title`]
,Body,2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],"2. [`Song Title`]
",2. [`Song Title`],2. [`Song Title`],2. [`Song Title`],2. [`Song Title`]
,,3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`],3. [`Song Title`]
,,,,,,,,,
,Tech Description,Invitation for song nominations (ARTISTS ONLY),,,,,,Invitación para nominaciones de canciones (SOLO ARTISTAS),
djooky_awards_new_season_start,Title,The new season of the Djooky Music Awards has just started.,Новый сезон Djooky Music Awards начался.,Розпочався новий сезон Djooky Music Awards,无界音乐音乐奖的新赛季才刚刚开始。,Djooky Music Awardsの新シーズンは始まったばかりです。,주키 무직 어워드의 새로운 시즌이 막 시작되었습니다.,La nueva temporada de los Djooky Music Awards acaba de comenzar.,
nominate_your_song_to_take_part,Body,Nominate your song to take part.,"Номинируйте свою песню, чтобы принять участие.",Номінуй свою пісню для участі у конкурсі.,提名歌曲参加比赛,参加すべく自分の曲をノミネートしてください。,여러분의 노래를 참여하도록 지명하세요.,Nomina tu canción para participar.,
,,,,,,,,,
,Tech Description,The new season has just started (MUSIC LOVERS ONLY),,,,,,La nueva temporada acaba de comenzar (SOLO PARA AMANTES DE LA MÚSICA),
announcement_new_season,Title,The new season of the Djooky Music Awards has just started.,Новый сезон Djooky Music Awards начался.,Розпочався новий сезон Djooky Music Awards,无界音乐音乐奖的新赛季才刚刚开始。,Djooky Music Awardsの新シーズンは始まったばかりです。,Djooky Music Awards의 새로운 시즌이 막 시작되었습니다.,La nueva temporada de los Djooky Music Awards acaba de comenzar.,
checkout_this_season_your_stream_nominations,Body,Go to the Djooky app to check out this Season's song nominations in your Stream,"Перейдите в приложение Djooky, чтобы прослушать новые номинации этого сезона","Перейди у додаток Djooky, щоб переглянути номінації цього сезону.",打开无界音乐APP并查看本季的歌曲,Djookyアプリにストリームで今シーズンの曲のノミネートをチェックしてください。,주키 앱으로 이동하여 스트림에서 이번 시즌의 노래 후보작을 확인하십시오.,Vaya a la aplicación Djooky para ver las nominaciones de canciones de esta temporada en tu Stream,
,,,,,,,,,
,,,,,,,,,
,НЕ отфильтрованные,,,,,,,,
